FID,Id,type
714,714,RES
715,715,EDU
716,716,RES
717,717,TRA
718,718,EDU
719,719,RES
720,720,RES
721,721,RES
722,722,RES
723,723,RES
724,724,RES
725,725,RES
726,726,RES
727,727,GRE
728,728,RES
729,729,RES
730,730,COM
731,731,OTH
732,732,OTH
733,733,RES
734,734,GRE
735,735,RES
736,736,GRE
737,737,RES
738,738,RES
739,739,RES
740,740,GRE
741,741,GRE
742,742,OTH
743,743,RES
744,744,RES
745,745,RES
746,746,OTH
747,747,EDU
748,748,OTH
749,749,OTH
750,750,OTH
751,751,GRE
752,752,RES
753,753,RES
754,754,RES
755,755,RES
756,756,EDU
757,757,EDU
758,758,GRE
759,759,EDU
760,760,RES
761,761,RES
762,762,RES
763,763,GRE
764,764,GRE
765,765,GRE
766,766,RES
767,767,RES
768,768,EDU
769,769,EDU
770,770,OTH
771,771,GRE
772,772,GRE
773,773,RES
774,774,EDU
775,775,GRE
776,776,RES
777,777,GRE
778,778,RES
779,779,RES
780,780,GRE
781,781,GRE
782,782,RES
783,783,GRE
784,784,GRE
785,785,GRE
786,786,RES
787,787,RES
788,788,GRE
789,789,GRE
790,790,GRE
791,791,OTH
792,792,GRE
793,793,RES
794,794,GRE
795,795,GRE
796,796,GRE
797,797,GRE
798,798,GRE
799,799,RES
800,800,GRE
801,801,GRE
802,802,GRE
803,803,GRE
804,804,GRE
805,805,GRE
806,806,GRE
807,807,RES
808,808,OTH
809,809,OTH
810,810,GRE
811,811,OTH
812,812,OTH
813,813,RES
814,814,OTH
815,815,EDU
816,816,GRE
817,817,RES
818,818,GRE
819,819,OTH
820,820,GRE
821,821,GRE
822,822,GRE
823,823,RES
824,824,GRE
825,825,GRE
826,826,RES
827,827,RES
828,828,GRE
829,829,COM
830,830,OTH
831,831,RES
832,832,OTH
833,833,OTH
834,834,RES
835,835,OTH
836,836,RES
837,837,RES
838,838,EDU
839,839,RES
840,840,GRE
841,841,OTH
842,842,GRE
843,843,GRE
844,844,GRE
845,845,GRE
846,846,RES
847,847,RES
848,848,EDU
849,849,RES
850,850,RES
851,851,RES
852,852,OTH
853,853,GRE
854,854,RES
855,855,EDU
856,856,RES
857,857,OTH
858,858,GRE
859,859,GRE
860,860,RES
861,861,GRE
862,862,OTH
863,863,GRE
864,864,RES
865,865,GRE
866,866,GRE
867,867,GRE
868,868,RES
869,869,GRE
870,870,GRE
871,871,RES
872,872,OTH
873,873,EDU
874,874,EDU
875,875,GRE
876,876,COM
877,877,COM
878,878,GRE
879,879,EDU
880,880,GRE
881,881,GRE
882,882,RES
883,883,RES
884,884,GRE
885,885,GRE
886,886,RES
887,887,RES
888,888,GRE
889,889,RES
890,890,GRE
891,891,GRE
892,892,GRE
893,893,GRE
894,894,GRE
895,895,GRE
896,896,GRE
897,897,GRE
898,898,GRE
899,899,GRE
900,900,GRE
901,901,GRE
902,902,GRE
903,903,GRE
904,904,GRE
905,905,GRE
906,906,GRE
907,907,EDU
908,908,GRE
909,909,GRE
910,910,GRE
911,911,RES
912,912,RES
913,913,OTH
914,914,RES
915,915,OTH
916,916,GRE
917,917,GRE
918,918,GRE
919,919,RES
920,920,RES
921,921,GRE
922,922,RES
923,923,RES
924,924,EDU
925,925,RES
926,926,GRE
927,927,GRE
928,928,GRE
929,929,RES
930,930,OTH
931,931,RES
932,932,RES
933,933,RES
934,934,RES
935,935,GRE
936,936,GRE
937,937,OTH
938,938,RES
939,939,GRE
940,940,RES
941,941,GRE
942,942,GRE
943,943,OTH
944,944,EDU
945,945,OTH
946,946,RES
947,947,RES
948,948,RES
949,949,RES
950,950,OTH
951,951,RES
952,952,RES
953,953,RES
954,954,GRE
955,955,GRE
956,956,OTH
957,957,RES
958,958,RES
959,959,OTH
960,960,GRE
961,961,GRE
962,962,OTH
963,963,GRE
964,964,OTH
965,965,OTH
966,966,GRE
967,967,GRE
968,968,OTH
969,969,RES
970,970,RES
971,971,GRE
972,972,GRE
973,973,GRE
974,974,RES
975,975,GRE
976,976,GRE
977,977,OTH
978,978,GRE
979,979,GRE
980,980,OTH
981,981,GRE
982,982,RES
983,983,OTH
984,984,GRE
985,985,GRE
986,986,RES
987,987,RES
988,988,RES
989,989,OTH
990,990,OTH
991,991,RES
992,992,OTH
993,993,RES
994,994,RES
995,995,RES
996,996,OTH
997,997,RES
998,998,RES
999,999,GRE
1000,1000,RES
1001,1001,GRE
1002,1002,RES
1003,1003,GRE
1004,1004,GRE
1005,1005,GRE
1006,1006,GRE
1007,1007,GRE
1008,1008,RES
1009,1009,OTH
1010,1010,GRE
1011,1011,GRE
1012,1012,OTH
1013,1013,GRE
1014,1014,OTH
1015,1015,GRE
1016,1016,GRE
1017,1017,GRE
1018,1018,GRE
1019,1019,GRE
1020,1020,OTH
1021,1021,RES
1022,1022,RES
1023,1023,OTH
1024,1024,GRE
1025,1025,RES
1026,1026,GRE
1027,1027,GRE
1028,1028,GRE
1029,1029,GRE
1030,1030,GRE
1031,1031,OTH
1032,1032,RES
1033,1033,RES
1034,1034,OTH
1035,1035,GRE
1036,1036,GRE
1037,1037,OTH
1038,1038,GRE
1039,1039,GRE
1040,1040,GRE
1041,1041,RES
1042,1042,GRE
1043,1043,GRE
1044,1044,GRE
1045,1045,GRE
1046,1046,GRE
1047,1047,OTH
1048,1048,GRE
1049,1049,GRE
1050,1050,OTH
1051,1051,GRE
1052,1052,GRE
1053,1053,GRE
1054,1054,OTH
1055,1055,OTH
1056,1056,OTH
1057,1057,GRE
1058,1058,GRE
1059,1059,GRE
1060,1060,GRE
1061,1061,RES
1062,1062,GRE
1063,1063,GRE
